City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
Rikitea,-23.1203,-134.9692,74.01,71,0,14.43,PF,1632280834
Carutapera,-1.195,-46.02,78.1,83,24,7.65,BR,1632280834
Busselton,-33.65,115.3333,78.04,55,0,4.47,AU,1632280834
Nouadhibou,20.931,-17.0347,71.58,83,0,16.11,MR,1632280835
Banda Aceh,5.5577,95.3222,83.97,65,100,13.18,ID,1632280835
Atuona,-9.8,-139.0333,77.88,74,8,20.13,PF,1632280836
Viedma,-40.8135,-62.9967,48.81,55,0,12.84,AR,1632280836
Albany,42.6001,-73.9662,65.32,88,100,5.57,US,1632280836
Cidreira,-30.1811,-50.2056,59.79,68,100,8.03,BR,1632280837
Burnie,-41.0667,145.9167,66.92,62,3,13.47,AU,1632280837
Artyom,40.4723,50.333,71.74,75,15,3.51,AZ,1632280838
Hay River,60.8156,-115.7999,48.16,93,20,2.3,CA,1632280838
Mar del Plata,-38.0023,-57.5575,44.62,93,0,4.61,AR,1632280712
Mataura,-46.1927,168.8643,53.47,42,8,4.68,NZ,1632280839
Ushuaia,-54.8,-68.3,44.26,87,75,0.0,AR,1632280622
George Town,5.4112,100.3354,85.93,79,20,3.44,MY,1632280638
Dikson,73.5069,80.5464,34.05,73,100,1.52,RU,1632280839
Dustlik,40.5247,68.0358,66.38,19,0,3.96,UZ,1632280840
Pandan,14.0453,124.1694,86.34,69,99,3.71,PH,1632280840
San Juan,-31.5375,-68.5364,59.02,56,76,13.98,AR,1632280840
Lüderitz,-26.6481,15.1594,63.77,43,3,8.21,NA,1632280841
Bukama,-9.2,25.85,71.46,27,42,4.18,CD,1632280841
San Roque,36.2107,-5.3842,70.61,83,75,14.97,ES,1632280841
Jalu,29.0331,21.5482,80.19,27,0,9.46,LY,1632280842
Hohoe,7.1518,0.4736,72.23,98,100,2.06,GH,1632280842
Vila Franca do Campo,37.7167,-25.4333,68.41,84,11,7.67,PT,1632280843
Progreso,21.2833,-89.6667,82.51,83,7,12.8,MX,1632280843
Vaini,-21.2,-175.2,77.16,83,20,8.05,TO,1632280843
Barrow,71.2906,-156.7887,30.22,86,90,17.27,US,1632280757
Hobart,-42.8794,147.3294,73.11,41,0,5.01,AU,1632280844
Taoudenni,22.6783,-3.9836,92.98,9,0,7.9,ML,1632280844
Alekseyevsk,57.8406,108.3492,47.8,63,27,3.0,RU,1632280845
Hithadhoo,-0.6,73.0833,83.26,76,96,16.24,MV,1632280845
Padang,-0.9492,100.3543,83.7,69,97,3.8,ID,1632280564
Korem,12.5058,39.5228,56.17,58,26,3.33,ET,1632280845
Iqaluit,63.7506,-68.5145,31.73,100,90,8.05,CA,1632280815
Kidal,18.4411,1.4078,87.91,18,11,9.17,ML,1632280846
Punta Arenas,-53.15,-70.9167,48.31,81,90,5.75,CL,1632280847
Labuhan,-6.8844,112.2051,86.2,59,60,9.13,ID,1632280848
Moose Factory,51.2585,-80.6094,42.8,93,75,5.75,CA,1632280848
Berdigestyakh,62.0989,126.6992,48.92,53,70,11.34,RU,1632280848
Lata,40.1629,-8.3327,65.07,63,0,6.17,PT,1632280849
Fort Nelson,58.8053,-122.7002,51.39,66,20,0.0,CA,1632280849
Fortuna,40.5982,-124.1573,68.18,57,1,1.99,US,1632280850
Havre-St-Pierre,50.2334,-63.5986,54.19,93,100,4.94,CA,1632280850
Torbay,47.6666,-52.7314,55.67,86,1,19.57,CA,1632280850
Saint-Philippe,-21.3585,55.7679,67.59,76,40,9.6,RE,1632280851
San Ramon,37.7799,-121.978,82.65,41,1,3.0,US,1632280851
Chokurdakh,70.6333,147.9167,37.72,54,96,9.31,RU,1632280852
Mucurapo,10.6667,-61.5333,80.13,80,46,7.34,TT,1632280852
Yulara,-25.2406,130.9889,67.84,19,0,13.8,AU,1632280852
Alvarães,-3.2208,-64.8042,74.62,92,66,2.82,BR,1632280853
Nikolskoye,59.7035,30.7861,43.02,83,100,5.75,RU,1632280853
Yellowknife,62.456,-114.3525,46.92,100,90,8.05,CA,1632280793
Faanui,-16.4833,-151.75,79.0,69,10,4.25,PF,1632280854
Bluff,-46.6,168.3333,53.8,66,13,19.62,NZ,1632280854
La Ronge,55.1001,-105.2842,55.65,62,90,4.61,CA,1632280855
Talakan,50.3167,130.3667,63.86,51,100,8.21,RU,1632280855
Senec,48.2195,17.4004,54.27,62,40,5.75,SK,1632280855
Kapaa,22.0752,-159.319,84.18,72,40,5.01,US,1632280856
Porosozero,62.7191,32.727,31.32,98,85,4.47,RU,1632280856
Laas,46.6166,10.7002,51.26,62,19,4.76,IT,1632280857
Saint-Pierre,-21.3393,55.4781,67.68,58,0,8.05,RE,1632280857
Castro,-24.7911,-50.0119,58.77,94,100,9.15,BR,1632280857
Olafsvik,64.8945,-23.7142,38.48,78,92,3.85,IS,1632280858
Erzin,36.9559,36.2,74.12,88,21,0.81,TR,1632280858
Kargasok,59.0556,80.8572,34.34,91,100,4.21,RU,1632280858
Buala,-8.145,159.5921,85.46,68,21,4.94,SB,1632280859
Xai-Xai,-25.0519,33.6442,67.62,55,95,15.48,MZ,1632280859
Arraial do Cabo,-22.9661,-42.0278,69.75,82,100,29.1,BR,1632280860
Trairi,-3.2778,-39.2689,77.23,84,28,9.78,BR,1632280612
New Norfolk,-42.7826,147.0587,72.75,47,6,7.0,AU,1632280860
Rumoi,43.9344,141.6428,69.39,79,100,5.84,JP,1632280861
Ponta do Sol,32.6667,-17.1,73.0,73,100,5.82,PT,1632280861
Carnarvon,-24.8667,113.6333,86.07,23,34,11.5,AU,1632280862
Taltal,-25.4,-70.4833,57.0,79,2,1.63,CL,1632280862
Port Alfred,-33.5906,26.891,55.17,75,1,6.2,ZA,1632280863
Yangi Marg`ilon,40.4272,71.7189,68.72,32,0,6.91,UZ,1632280863
Salinópolis,-0.6136,-47.3561,79.52,79,40,11.21,BR,1632280864
Najrān,17.4924,44.1277,74.05,34,80,2.89,SA,1632280864
Codajás,-3.8367,-62.0569,74.3,88,26,2.35,BR,1632280864
Boa Vista,2.8197,-60.6733,80.58,74,75,1.14,BR,1632280815
Tasiilaq,65.6145,-37.6368,32.16,60,55,9.1,GL,1632280865
Longyearbyen,78.2186,15.6401,40.84,65,40,11.5,SJ,1632280865
Tiksi,71.6872,128.8694,36.19,71,100,4.18,RU,1632280866
Quatre Cocos,-20.2078,57.7625,70.09,62,17,11.95,MU,1632280866
Roald,62.5833,6.1333,62.65,63,75,23.02,NO,1632280866
Rupert,42.6191,-113.6772,62.04,39,1,8.05,US,1632280718
Cape Town,-33.9258,18.4232,53.11,79,0,1.01,ZA,1632280754
Road Town,18.4167,-64.6167,84.29,72,91,15.46,VG,1632280867
Pevek,69.7008,170.3133,27.63,75,99,11.59,RU,1632280868
Thompson,55.7435,-97.8558,42.96,81,75,2.3,CA,1632280746
Wamba,8.9333,8.6,70.48,98,100,2.13,NG,1632280812
Kamenka,51.3223,42.7678,48.78,92,87,6.6,RU,1632280868
Coquimbo,-29.9533,-71.3436,55.13,71,90,4.61,CL,1632280869
Shingū,33.7333,135.9833,79.92,81,40,4.09,JP,1632280869
Agapovka,53.2973,59.1348,34.81,57,44,2.64,RU,1632280869
Santiago del Estero,-27.7951,-64.2615,60.8,63,100,3.27,AR,1632280870
Tomatlán,19.9333,-105.25,77.68,93,57,2.37,MX,1632280870
East London,-33.0153,27.9116,54.54,76,20,3.44,ZA,1632280871
Tuktoyaktuk,69.4541,-133.0374,37.4,70,90,14.97,CA,1632280871
Bull Savanna,17.8868,-77.5902,77.74,74,21,1.12,JM,1632280871
Evensk,61.95,159.2333,43.02,90,100,17.58,RU,1632280872
Köping,59.514,15.9926,50.45,98,100,2.93,SE,1632280872
Agua Verde,22.9,-106.05,86.04,79,46,9.64,MX,1632280873
San-Pédro,4.7485,-6.6363,75.09,95,96,5.46,CI,1632280873
Bredasdorp,-34.5322,20.0403,42.12,87,0,4.61,ZA,1632280874
Palotina,-24.2839,-53.84,71.55,66,99,8.1,BR,1632280874
Grindavik,63.8424,-22.4338,40.95,87,75,6.91,IS,1632280874
Avarua,-21.2078,-159.775,77.05,73,40,4.61,CK,1632280721
Zhangye,38.9342,100.4517,72.95,22,19,2.8,CN,1632280875
Porbandar,21.6422,69.6093,84.18,79,40,10.36,IN,1632280875
Guhāgar,17.4842,73.1929,77.32,90,100,0.96,IN,1632280876
Tura,25.5198,90.2201,75.34,86,100,0.07,IN,1632280876
Chui,-33.6971,-53.4616,55.24,75,92,8.84,UY,1632280876
Saint Paul Harbor,57.79,-152.4072,49.51,29,1,25.32,US,1632280877
Port Elizabeth,-33.918,25.5701,44.89,93,1,2.3,ZA,1632280877
Port Antonio,18.18,-76.4612,82.31,82,39,2.64,JM,1632280878
Inuvik,68.3499,-133.7218,36.46,75,90,6.91,CA,1632280829
Jaunpur,25.7333,82.6833,86.02,75,1,10.11,IN,1632280878
São Filipe,14.8961,-24.4956,79.14,81,7,8.52,CV,1632280878
Noumea,-22.2763,166.4572,80.58,59,87,3.42,NC,1632280879
Tuatapere,-46.1333,167.6833,53.82,55,13,5.14,NZ,1632280879
Nuuk,64.1835,-51.7216,32.61,86,75,11.5,GL,1632280880
Zhigansk,66.7697,123.3711,45.64,56,100,20.58,RU,1632280880
Norman Wells,65.282,-126.8329,42.84,75,75,9.22,CA,1632280880
Bariloche,-41.1456,-71.3082,55.15,38,40,4.61,AR,1632280881
Lebu,-37.6167,-73.65,50.4,85,54,3.91,CL,1632280881
Hilo,19.7297,-155.09,79.29,83,90,6.91,US,1632280665
Gladstone,-23.85,151.25,73.33,23,0,8.05,AU,1632280752
Kundgol,15.25,75.25,73.6,85,100,11.88,IN,1632280882
Songyang,34.4553,113.0281,82.9,48,35,4.59,CN,1632280882
Lavrentiya,65.5833,-171.0,34.59,59,100,14.56,RU,1632280883
Jijiga,9.35,42.8,62.96,83,61,10.71,ET,1632280883
Butaritari,3.0707,172.7902,83.41,70,85,12.06,KI,1632280883
Faya,18.3851,42.4509,68.11,42,96,6.46,SA,1632280884
Inhambane,-23.865,35.3833,69.66,70,100,16.02,MZ,1632280884
Bubaque,11.2833,-15.8333,81.0,81,90,11.32,GW,1632280884
Bedford,52.1346,-0.4663,53.31,96,95,6.49,GB,1632280698
Bagru,26.8088,75.5423,79.14,79,92,7.92,IN,1632280885
Cayenne,4.9333,-52.3333,83.08,81,0,3.0,GF,1632280885
Kahului,20.8947,-156.47,80.62,62,40,20.71,US,1632280886
